rank,acci_name_ar,acci_name_normalized,count,share
1,مركبه عطلانه في الشارع - بسيط,مركبه عطلانه في الشارع - بسيط,83297,0.11566538
2,الوقوف خلف المركبات (دبل بارك) - بسيط,الوقوف خلف المركبات (دبل بارك) - بسيط,58031,0.08058126
3,صدم عمود - بسيط,صدم عمود - بسيط,43851,0.06089106
4,حادث اصطدام بين سيارتين- بسيط,حادث اصطدام بين سيارتين - بسيط,36356,0.05048358
5,تعطل مركبة على طريق عام,تعطل مركبة على طريق عام,35380,0.04912831
6,صدم جدار - بسيط,صدم جدار - بسيط,31819,0.04418354
7,صدم حاجز - بسيط,صدم حاجز - بسيط,29010,0.04028299
8,اصطدام بين مركبتين - بسيط,اصطدام بين مركبتين - بسيط,28475,0.03954010
9,تعطل مركبة خفيفة - بسيط,تعطل مركبة خفيفة - بسيط,25951,0.03603530
10,مركبات مخالفة,مركبات مخالفة,22262,0.03091279
11,حادث صدم عمود- بسيط,حادث صدم عمود - بسيط,22034,0.03059619
12,صدم رصيف - بسيط,صدم رصيف - بسيط,17905,0.02486270
13,الصدم والهروب - بسيط,الصدم والهروب - بسيط,16915,0.02348800
14,وجود جسم في الشارع - بسيط,وجود جسم في الشارع - بسيط,15388,0.02136762
15,حادث صدم جدار- بسيط,حادث صدم جدار - بسيط,15302,0.02124820
16,حادث ضد مجهول- بسيط,حادث ضد مجهول - بسيط,14982,0.02080385
17,حادث صدم و هروب- بسيط,حادث صدم و هروب - بسيط,14693,0.02040255
18,صدم دراجة نارية - بسيط,صدم دراجة نارية - بسيط,12323,0.01711159
19,صدم دراجة نارية - بليغ,صدم دراجة نارية - بليغ,11242,0.01561053
20,حادث صدم حاجز- بسيط,حادث صدم حاجز - بسيط,10786,0.01497733
21,تعطل مركبة ثقيلة - بسيط,تعطل مركبة ثقيلة - بسيط,10169,0.01412057
22,حادث صدم رصيف- بسيط,حادث صدم رصيف - بسيط,9046,0.01256118
23,اصطدام بين مركبتين - بليغ,اصطدام بين مركبتين - بليغ,8884,0.01233623
24,ازدحام مروري - بسيط,ازدحام مروري - بسيط,8763,0.01216821
25,اصطدام بين عدة مركبات - بسيط,اصطدام بين عدة مركبات - بسيط,8301,0.01152669
26,وجود جسم في الشارع,وجود جسم في الشارع,7556,0.01049219
27,حادث اصطدام بين عدة سيارات- بسيط,حادث اصطدام بين عدة سيارات - بسيط,5712,0.00793163
