rank,latitude,longitude,count,share_of_map_eda_rows
1,25.195,55.275,6197,0.86%
2,25.205,55.275,5362,0.75%
3,25.225,55.285,5297,0.74%
4,25.195,55.285,5271,0.73%
5,25.255,55.335,5167,0.72%
6,25.115,55.205,5013,0.70%
7,25.215,55.405,4950,0.69%
8,25.075,55.135,4566,0.64%
9,25.075,55.145,4229,0.59%
10,25.085,55.145,4214,0.59%
11,25.235,55.275,4013,0.56%
12,25.265,55.325,3944,0.55%
13,25.215,55.275,3919,0.55%
14,25.235,55.285,3904,0.54%
15,25.255,55.405,3824,0.53%
16,25.275,55.305,3809,0.53%
17,25.275,55.345,3719,0.52%
18,25.115,55.195,3676,0.51%
19,25.205,55.265,3592,0.50%
20,25.195,55.265,3535,0.49%
21,25.185,55.275,3453,0.48%
22,25.185,55.265,3340,0.47%
23,25.255,55.325,3283,0.46%
24,25.275,55.355,3279,0.46%
25,25.225,55.275,3277,0.46%
26,25.275,55.335,3201,0.45%
27,25.255,55.305,3185,0.44%
28,25.285,55.335,3157,0.44%
29,25.255,55.295,3150,0.44%
30,25.165,55.405,3116,0.43%
31,25.285,55.355,3111,0.43%
32,25.095,55.175,3102,0.43%
33,25.245,55.305,3017,0.42%
34,25.265,55.315,2981,0.42%
35,25.275,55.315,2933,0.41%
36,25.235,55.295,2806,0.39%
37,25.275,55.415,2784,0.39%
38,25.275,55.325,2782,0.39%
39,25.265,55.335,2767,0.39%
40,25.185,55.255,2764,0.39%
41,25.235,55.405,2752,0.38%
42,25.235,55.305,2707,0.38%
43,25.125,55.205,2704,0.38%
44,25.225,55.355,2668,0.37%
45,25.185,55.285,2642,0.37%
46,25.235,55.315,2628,0.37%
47,25.215,55.285,2601,0.36%
48,25.285,55.325,2546,0.35%
49,25.105,55.175,2522,0.35%
50,25.175,55.245,2498,0.35%
51,25.045,55.195,2461,0.34%
52,25.225,55.405,2458,0.34%
53,25.245,55.405,2446,0.34%
54,25.175,55.395,2419,0.34%
55,25.275,55.425,2408,0.34%
56,25.175,55.255,2406,0.34%
57,25.175,55.415,2359,0.33%
58,25.135,55.215,2336,0.33%
59,25.095,55.165,2296,0.32%
60,25.135,55.255,2263,0.32%
61,25.175,55.275,2260,0.31%
62,25.245,55.285,2231,0.31%
63,25.235,55.375,2180,0.30%
64,25.145,55.225,2174,0.30%
65,25.265,55.295,2165,0.30%
66,25.245,55.315,2162,0.30%
67,25.265,55.375,2139,0.30%
68,25.115,55.215,2129,0.30%
69,25.075,55.215,2113,0.29%
70,25.215,55.255,2106,0.29%
71,25.245,55.345,2082,0.29%
72,25.105,55.235,2079,0.29%
73,25.185,55.295,2066,0.29%
74,25.095,55.155,2065,0.29%
75,25.065,55.135,2064,0.29%
76,25.225,55.265,2030,0.28%
77,25.045,55.215,2027,0.28%
78,25.245,55.295,2021,0.28%
79,25.165,55.235,2018,0.28%
80,25.165,55.265,2013,0.28%
81,25.125,55.235,2011,0.28%
82,25.085,55.155,1996,0.28%
83,25.225,55.315,1983,0.28%
84,25.225,55.425,1979,0.28%
85,25.225,55.325,1970,0.27%
86,25.185,55.395,1959,0.27%
87,25.165,55.395,1922,0.27%
88,25.285,55.345,1907,0.27%
89,25.175,55.405,1904,0.27%
90,25.245,55.355,1888,0.26%
91,25.115,55.365,1875,0.26%
92,25.055,55.235,1871,0.26%
93,25.155,55.225,1859,0.26%
94,25.265,55.305,1842,0.26%
95,24.995,55.305,1842,0.26%
96,25.185,55.405,1837,0.26%
97,25.265,55.415,1837,0.26%
98,25.255,55.285,1829,0.25%
99,25.115,55.245,1811,0.25%
100,25.295,55.365,1797,0.25%
101,25.275,55.375,1779,0.25%
102,25.035,55.175,1775,0.25%
103,25.125,55.215,1767,0.25%
104,25.235,55.425,1757,0.24%
105,25.195,55.395,1703,0.24%
106,25.265,55.385,1696,0.24%
107,25.075,55.305,1693,0.24%
108,25.215,55.265,1687,0.24%
109,25.245,55.335,1672,0.23%
110,25.145,55.245,1670,0.23%
111,25.295,55.395,1669,0.23%
112,25.285,55.405,1667,0.23%
113,25.175,55.385,1654,0.23%
114,25.115,55.135,1649,0.23%
115,25.225,55.385,1637,0.23%
116,25.285,55.365,1631,0.23%
117,25.265,55.395,1622,0.23%
118,25.025,55.165,1609,0.22%
119,25.285,55.395,1597,0.22%
120,25.095,55.185,1597,0.22%
121,25.055,55.205,1589,0.22%
122,25.145,55.195,1575,0.22%
123,25.225,55.345,1566,0.22%
124,25.275,55.365,1564,0.22%
125,25.225,55.365,1564,0.22%
126,25.105,55.165,1557,0.22%
127,25.225,55.335,1551,0.22%
128,25.235,55.435,1543,0.22%
129,25.015,55.155,1539,0.21%
130,25.065,55.205,1538,0.21%
131,25.125,55.375,1533,0.21%
132,25.265,55.285,1526,0.21%
133,25.235,55.265,1521,0.21%
134,25.065,55.215,1517,0.21%
135,25.135,55.235,1516,0.21%
136,25.235,55.355,1514,0.21%
137,25.155,55.405,1503,0.21%
138,25.145,55.255,1477,0.21%
139,25.215,55.375,1469,0.20%
140,25.295,55.385,1469,0.20%
141,25.205,55.255,1460,0.20%
142,25.275,55.295,1455,0.20%
143,25.105,55.145,1448,0.20%
144,25.225,55.375,1433,0.20%
145,25.185,55.375,1431,0.20%
146,25.225,55.295,1419,0.20%
147,25.215,55.315,1414,0.20%
148,25.165,55.245,1413,0.20%
149,25.125,55.225,1410,0.20%
150,25.235,55.325,1407,0.20%
151,25.185,55.235,1406,0.20%
152,25.125,55.365,1393,0.19%
153,25.125,55.195,1379,0.19%
154,25.205,55.315,1378,0.19%
155,25.155,55.265,1375,0.19%
156,25.045,55.205,1370,0.19%
157,25.135,55.245,1360,0.19%
158,25.155,55.205,1358,0.19%
159,25.195,55.295,1355,0.19%
160,25.045,55.255,1350,0.19%
161,25.245,55.275,1342,0.19%
162,25.275,55.385,1334,0.19%
163,25.145,55.265,1318,0.18%
164,25.165,55.215,1311,0.18%
165,25.235,55.365,1309,0.18%
166,25.055,55.195,1309,0.18%
167,25.095,55.385,1304,0.18%
168,25.065,55.145,1300,0.18%
169,25.205,55.245,1299,0.18%
170,25.295,55.375,1293,0.18%
171,25.295,55.335,1285,0.18%
172,25.115,55.385,1281,0.18%
173,25.155,55.255,1280,0.18%
174,25.165,55.415,1278,0.18%
175,25.005,55.085,1277,0.18%
176,25.075,55.155,1274,0.18%
177,25.285,55.385,1272,0.18%
178,25.165,55.255,1256,0.18%
179,25.055,55.215,1256,0.18%
180,25.215,55.325,1247,0.17%
181,25.215,55.415,1245,0.17%
182,25.045,55.245,1243,0.17%
183,25.185,55.365,1238,0.17%
184,25.285,55.375,1238,0.17%
185,25.175,55.365,1228,0.17%
186,25.175,55.355,1226,0.17%
187,25.155,55.235,1223,0.17%
188,25.195,55.405,1222,0.17%
189,25.135,55.225,1221,0.17%
190,25.105,55.335,1217,0.17%
191,25.105,55.375,1215,0.17%
192,25.065,55.245,1211,0.17%
193,25.215,55.425,1211,0.17%
194,25.045,55.235,1210,0.17%
195,25.115,55.225,1208,0.17%
196,25.185,55.245,1198,0.17%
197,25.245,55.365,1197,0.17%
198,25.235,55.385,1196,0.17%
199,25.035,55.185,1179,0.16%
200,24.975,55.145,1172,0.16%
201,25.115,55.375,1167,0.16%
202,25.055,55.265,1167,0.16%
203,25.225,55.395,1165,0.16%
204,25.275,55.395,1152,0.16%
205,25.115,55.355,1144,0.16%
206,25.195,55.245,1142,0.16%
207,25.125,55.245,1142,0.16%
208,25.015,55.145,1133,0.16%
209,25.135,55.185,1128,0.16%
210,25.255,55.345,1126,0.16%
211,25.185,55.225,1126,0.16%
212,25.085,55.215,1125,0.16%
213,25.235,55.345,1125,0.16%
214,25.155,55.215,1122,0.16%
215,25.205,55.405,1119,0.16%
216,25.105,55.185,1118,0.16%
217,25.155,55.245,1118,0.16%
218,25.065,55.295,1118,0.16%
219,25.045,55.115,1101,0.15%
220,25.115,55.145,1101,0.15%
221,25.105,55.225,1092,0.15%
222,25.055,55.255,1085,0.15%
223,25.285,55.425,1082,0.15%
224,25.115,55.185,1081,0.15%
225,25.285,55.315,1062,0.15%
226,25.115,55.395,1054,0.15%
227,25.055,55.245,1052,0.15%
228,25.055,55.225,1048,0.15%
229,25.005,55.145,1043,0.15%
230,25.085,55.195,1038,0.14%
231,25.265,55.425,1030,0.14%
232,25.175,55.425,1029,0.14%
233,25.035,55.205,1016,0.14%
234,25.165,55.455,1012,0.14%
235,25.145,55.235,1011,0.14%
236,25.105,55.205,1009,0.14%
237,25.215,55.385,1000,0.14%
238,25.075,55.205,991,0.14%
239,25.295,55.345,989,0.14%
240,25.075,55.125,985,0.14%
241,25.255,55.385,975,0.14%
242,25.225,55.255,972,0.14%
243,25.175,55.515,970,0.14%
244,25.085,55.315,967,0.13%
245,25.005,55.105,967,0.13%
246,25.105,55.195,965,0.13%
247,25.195,55.255,964,0.13%
248,25.045,55.225,963,0.13%
249,25.085,55.395,963,0.13%
250,25.175,55.265,960,0.13%
251,25.185,55.385,952,0.13%
252,25.155,55.395,949,0.13%
253,25.295,55.325,947,0.13%
254,25.175,55.235,945,0.13%
255,25.165,55.385,944,0.13%
256,25.065,55.235,941,0.13%
257,25.255,55.395,940,0.13%
258,25.045,55.125,935,0.13%
259,24.995,55.145,934,0.13%
260,25.265,55.405,933,0.13%
261,24.905,55.085,931,0.13%
262,25.085,55.245,931,0.13%
263,25.185,55.345,930,0.13%
264,25.045,55.135,930,0.13%
265,25.095,55.235,929,0.13%
266,25.235,55.335,928,0.13%
267,25.105,55.155,928,0.13%
268,25.105,55.345,926,0.13%
269,25.145,55.215,926,0.13%
270,25.205,55.545,925,0.13%
271,25.095,55.145,918,0.13%
272,25.165,55.465,917,0.13%
273,25.085,55.135,908,0.13%
274,25.135,55.385,907,0.13%
275,25.195,55.235,905,0.13%
276,25.175,55.315,901,0.13%
277,25.185,55.315,898,0.13%
278,25.275,55.435,892,0.12%
279,25.185,55.305,889,0.12%
280,25.165,55.495,888,0.12%
281,25.185,55.355,880,0.12%
282,25.165,55.225,879,0.12%
283,25.055,55.275,871,0.12%
284,25.005,55.155,869,0.12%
285,25.135,55.195,868,0.12%
286,25.135,55.375,867,0.12%
287,25.155,55.385,863,0.12%
288,25.085,55.205,862,0.12%
289,25.145,55.205,854,0.12%
290,25.205,55.425,852,0.12%
291,25.055,55.175,849,0.12%
292,25.265,55.435,849,0.12%
293,25.055,55.125,844,0.12%
294,25.095,55.205,842,0.12%
295,25.175,55.335,842,0.12%
296,25.225,55.465,841,0.12%
297,25.005,55.295,838,0.12%
298,25.085,55.385,836,0.12%
299,25.225,55.555,835,0.12%
300,25.285,55.415,832,0.12%
301,25.065,55.195,828,0.12%
302,25.095,55.325,825,0.11%
303,25.175,55.225,818,0.11%
304,25.115,55.235,818,0.11%
305,25.275,55.405,818,0.11%
306,25.225,55.505,816,0.11%
307,25.225,55.415,812,0.11%
308,25.125,55.255,809,0.11%
309,25.175,55.345,806,0.11%
310,24.995,55.125,804,0.11%
311,25.125,55.395,804,0.11%
312,25.015,55.095,801,0.11%
313,25.215,55.395,799,0.11%
314,25.175,55.375,794,0.11%
315,24.985,55.095,789,0.11%
316,25.005,55.115,781,0.11%
317,25.005,55.165,772,0.11%
318,25.195,55.535,771,0.11%
319,25.095,55.225,771,0.11%
320,25.095,55.245,770,0.11%
321,24.965,55.135,759,0.11%
322,25.245,55.325,757,0.11%
323,25.175,55.305,747,0.10%
324,25.025,55.275,745,0.10%
325,25.185,55.525,744,0.10%
326,25.105,55.215,742,0.10%
327,25.255,55.315,730,0.10%
328,25.045,55.185,728,0.10%
329,25.245,55.385,714,0.10%
330,25.135,55.205,714,0.10%
331,25.205,55.415,712,0.10%
332,25.215,55.555,709,0.10%
333,25.075,54.945,708,0.10%
334,25.295,55.355,706,0.10%
335,25.205,55.395,704,0.10%
336,25.035,55.255,702,0.10%
337,25.005,55.095,696,0.10%
338,25.025,55.285,686,0.10%
339,25.265,55.445,686,0.10%
340,25.235,55.445,685,0.10%
341,25.235,55.415,685,0.10%
342,25.225,55.435,680,0.09%
343,24.985,55.145,678,0.09%
344,24.995,55.165,672,0.09%
345,25.085,55.225,672,0.09%
346,25.175,55.215,672,0.09%
347,25.075,55.245,667,0.09%
348,24.985,55.085,660,0.09%
349,25.005,55.135,660,0.09%
350,25.255,55.415,658,0.09%
351,25.195,55.385,652,0.09%
352,25.025,55.155,647,0.09%
353,25.035,55.265,642,0.09%
354,25.125,55.405,639,0.09%
355,25.035,55.145,637,0.09%
356,24.915,55.105,636,0.09%
357,25.015,55.115,634,0.09%
358,25.255,55.425,634,0.09%
359,25.035,55.225,632,0.09%
360,24.975,55.205,630,0.09%
361,25.295,55.405,628,0.09%
362,25.205,55.375,628,0.09%
363,25.065,55.415,617,0.09%
364,25.155,55.295,616,0.09%
365,25.235,55.395,613,0.09%
366,25.105,55.385,612,0.09%
367,25.205,55.345,612,0.09%
368,25.105,55.245,608,0.08%
369,25.145,55.385,607,0.08%
370,25.155,55.285,603,0.08%
371,24.955,55.235,600,0.08%
372,24.995,55.095,600,0.08%
373,25.135,55.455,597,0.08%
374,25.085,55.235,593,0.08%
375,24.975,55.075,593,0.08%
376,25.055,55.285,588,0.08%
377,25.015,55.165,582,0.08%
378,25.065,55.305,578,0.08%
379,25.015,55.135,573,0.08%
380,25.185,55.325,560,0.08%
381,25.245,55.445,558,0.08%
382,25.215,55.335,557,0.08%
383,25.235,55.475,554,0.08%
384,25.165,55.365,554,0.08%
385,25.255,55.435,547,0.08%
386,25.245,55.455,546,0.08%
387,24.975,55.135,545,0.08%
388,25.065,55.225,537,0.07%
389,25.195,55.415,532,0.07%
390,24.805,56.135,525,0.07%
391,25.065,55.185,523,0.07%
392,25.125,55.125,521,0.07%
393,25.005,55.255,519,0.07%
394,25.035,55.105,518,0.07%
395,25.265,55.345,515,0.07%
396,25.015,55.125,514,0.07%
397,24.965,55.205,513,0.07%
398,24.995,55.175,511,0.07%
399,25.075,55.405,510,0.07%
400,25.155,55.335,508,0.07%
401,25.185,55.335,508,0.07%
402,25.175,55.325,504,0.07%
403,25.265,55.365,503,0.07%
404,25.195,55.305,502,0.07%
405,25.095,55.195,501,0.07%
406,24.965,55.085,498,0.07%
407,25.095,55.405,496,0.07%
408,25.115,55.175,494,0.07%
409,25.045,55.155,490,0.07%
410,24.925,55.115,489,0.07%
411,24.985,55.115,489,0.07%
412,24.975,55.085,488,0.07%
413,25.155,55.275,486,0.07%
414,25.165,55.275,481,0.07%
415,25.065,55.155,478,0.07%
416,25.165,55.205,474,0.07%
417,25.005,55.305,466,0.06%
418,25.125,55.385,465,0.06%
419,25.235,55.565,464,0.06%
420,25.165,55.425,461,0.06%
421,25.015,55.105,460,0.06%
422,25.145,55.395,459,0.06%
423,25.195,55.545,458,0.06%
424,25.095,55.315,454,0.06%
425,24.925,55.005,452,0.06%
426,24.985,55.135,449,0.06%
427,25.035,55.115,443,0.06%
428,25.205,55.305,442,0.06%
429,25.245,55.415,440,0.06%
430,25.055,55.185,438,0.06%
431,25.205,55.435,437,0.06%
432,25.015,55.285,437,0.06%
433,24.985,55.185,436,0.06%
434,25.155,55.485,433,0.06%
435,25.205,55.285,432,0.06%
