month,count
2018-08,5578
2018-09,5615
2018-10,134
2018-11,8688
2018-12,10251
2019-01,10167
2019-02,9842
2019-03,10629
2019-04,9867
2019-05,10277
2019-06,9989
2019-07,7214
2019-08,7710
2019-09,8503
2019-10,8560
2019-11,7708
2019-12,6723
2020-01,7928
2020-02,6265
2020-03,4436
2020-04,2518
2020-05,3307
2020-06,4065
2020-07,5106
2020-08,4800
2020-09,5470
2020-10,5120
2020-11,5383
2020-12,3358
2021-01,5413
2021-02,4622
2021-03,1484
2021-04,6447
2021-05,7231
2021-06,7805
2021-07,6838
2021-08,6916
2021-09,7525
2021-10,9117
2021-11,8251
2021-12,7976
2022-01,7564
2022-02,6091
2022-03,8116
2022-04,6818
2022-05,6981
2022-06,7267
2022-07,6124
2022-08,6207
2022-09,6720
2022-10,7352
2022-11,7141
2022-12,6922
2023-01,2620
2023-02,7050
2023-03,7764
2023-04,6849
2023-05,8442
2023-06,7694
2023-07,7275
2023-08,7814
2023-09,8679
2023-10,8975
2023-11,5748
2023-12,6818
2024-01,8886
2024-02,8854
2024-03,8904
2024-04,9018
2024-05,9667
2024-06,9102
2024-07,8933
2024-08,9241
2024-09,7253
2024-10,10593
2024-11,9026
2024-12,9252
2025-01,9790
2025-02,9315
2025-03,10321
2025-04,11351
2025-05,11797
2025-06,10576
2025-07,10819
2025-08,10406
2025-09,11164
2025-10,5274
2025-11,11342
2025-12,10905
2026-01,10857
2026-02,9554
2026-03,8887
2026-04,4704
2026-05,9906
2026-06,165
