rank,acci_name,count,share_of_all_rows
1,مركبه عطلانه في الشارع - بسيط,83297,11.57%
2,الوقوف خلف المركبات (دبل بارك) - بسيط,58031,8.06%
3,صدم عمود - بسيط,43851,6.09%
4,حادث اصطدام بين سيارتين- بسيط,36356,5.05%
5,تعطل مركبة على طريق عام,35380,4.91%
6,صدم جدار - بسيط,31819,4.42%
7,صدم حاجز - بسيط,29010,4.03%
8,اصطدام بين مركبتين - بسيط,28475,3.95%
9,تعطل مركبة خفيفة - بسيط,25951,3.60%
10,مركبات مخالفة,22262,3.09%
11,حادث صدم عمود- بسيط,22034,3.06%
12,صدم رصيف - بسيط,17905,2.49%
13,الصدم والهروب - بسيط,16915,2.35%
14,وجود جسم في الشارع - بسيط,15388,2.14%
15,حادث صدم جدار- بسيط,15302,2.12%
16,حادث ضد مجهول- بسيط,14982,2.08%
17,حادث صدم و هروب- بسيط,14693,2.04%
18,صدم دراجة نارية - بسيط,12323,1.71%
19,صدم دراجة نارية - بليغ,11242,1.56%
20,حادث صدم حاجز- بسيط,10786,1.50%
