model,k,evaluated_windows,windows_with_positives,total_positive_cell_windows,positive_cell_windows_captured,recall_at_k,mean_window_recall_at_k,precision_at_k,positive_window_hit_rate_at_k,total_incidents,incidents_captured,incident_recall_at_k
Historical risk,5,3420,3122,108224,2939,0.02715663808397398,0.027397219995417593,0.17187134502923976,0.6156310057655349,115298,3443,0.029861749553331367
Historical risk,10,3420,3122,108224,4971,0.04593251034890597,0.046914948547056336,0.14535087719298245,0.7821909032671365,115298,5728,0.04967995975645718
Historical risk,20,3420,3122,108224,8847,0.08174711709047901,0.08320474036169667,0.1293421052631579,0.9106342088404868,115298,10043,0.08710471994310395
Logistic Regression,5,3420,3122,108224,2945,0.027212078651685394,0.027035902113386,0.17222222222222222,0.6117873158231902,115298,3456,0.029974500858644556
Logistic Regression,10,3420,3122,108224,5082,0.04695816085156712,0.04720949068314281,0.14859649122807017,0.7815502882767457,115298,5864,0.05085951187357977
Logistic Regression,20,3420,3122,108224,8994,0.08310541099940863,0.08414370875819233,0.13149122807017544,0.9103139013452914,115298,10227,0.08870058457215216
Random Forest,5,3420,3122,108224,2825,0.026103267297457124,0.025829463758478288,0.1652046783625731,0.6002562459961563,115298,3305,0.028664851081545213
Random Forest,10,3420,3122,108224,5054,0.046699438202247194,0.04705024529272642,0.14777777777777779,0.7786675208199871,115298,5850,0.05073808739093479
Random Forest,20,3420,3122,108224,8946,0.08266188645771733,0.08431842359246604,0.13078947368421054,0.9122357463164638,115298,10186,0.08834498430154902
XGBoost,5,3420,3122,108224,2893,0.02673159373151981,0.026767661204247884,0.1691812865497076,0.6098654708520179,115298,3369,0.02921993443077937
XGBoost,10,3420,3122,108224,5187,0.047928370786516857,0.04878143496965398,0.15166666666666667,0.795003203074952,115298,5960,0.051692136897431004
XGBoost,20,3420,3122,108224,9049,0.08361361620342993,0.08567542058044955,0.1322953216374269,0.9183215887251762,115298,10281,0.08916893614806848
