setting_id,h3_resolution,window_hours,split,inside_dubai_cells,window_start_index,window_end_exclusive,windows,full_grid_candidate_rows,positive_cell_windows,positive_rate,incident_count,train_positive_source_rows,train_negative_source_rows,train_fit_rows,min_window_start,max_window_start
res7_3h,7,3,train,216,0,15956,15956,3446496,324865,0.09425950298506076,397674,324865,1624325,1000000,2018-08-13 06:00:00,2024-01-28 15:00:00
res7_3h,7,3,validation,216,15956,19375,3419,738504,93710,0.12689166206276473,115536,0,0,0,2024-01-28 18:00:00,2025-03-31 00:00:00
res7_3h,7,3,test,216,19375,22795,3420,738720,96691,0.13088991769547326,120653,0,0,0,2025-03-31 03:00:00,2026-06-01 12:00:00
res8_1h,8,1,train,1305,0,47868,47868,62467740,372809,0.005968024455502953,382505,372809,1864045,1000000,2018-08-13 08:00:00,2024-01-28 19:00:00
res8_1h,8,1,validation,1305,47868,58125,10257,13385385,108205,0.008083816789729992,110783,0,0,0,2024-01-28 20:00:00,2025-03-31 04:00:00
res8_1h,8,1,test,1305,58125,68383,10258,13386690,112282,0.008387584981799085,115283,0,0,0,2025-03-31 05:00:00,2026-06-01 14:00:00
res8_3h,8,3,train,1305,0,15956,15956,20822580,360278,0.017302274742130898,382485,360278,1801390,1000000,2018-08-13 06:00:00,2024-01-28 15:00:00
res8_3h,8,3,validation,1305,15956,19375,3419,4461795,104435,0.02340649895389636,110788,0,0,0,2024-01-28 18:00:00,2025-03-31 00:00:00
res8_3h,8,3,test,1305,19375,22795,3420,4463100,108224,0.02424861643252448,115298,0,0,0,2025-03-31 03:00:00,2026-06-01 12:00:00
res8_6h,8,6,train,1305,0,7978,7978,10411290,346617,0.033292416213552785,382485,346617,1733085,1000000,2018-08-13 06:00:00,2024-01-28 12:00:00
res8_6h,8,6,validation,1305,7978,9688,1710,2231550,100304,0.04494813022338733,110810,0,0,0,2024-01-28 18:00:00,2025-03-31 00:00:00
res8_6h,8,6,test,1305,9688,11398,1710,2231550,103781,0.04650624005735923,115276,0,0,0,2025-03-31 06:00:00,2026-06-01 12:00:00
res9_3h,9,3,train,8579,0,15956,15956,136886524,369269,0.002697628584680841,377350,369269,1846345,1000000,2018-08-13 06:00:00,2024-01-28 15:00:00
res9_3h,9,3,validation,8579,15956,19375,3419,29331601,106811,0.003641499146262081,109237,0,0,0,2024-01-28 18:00:00,2025-03-31 00:00:00
res9_3h,9,3,test,8579,19375,22795,3420,29340180,110670,0.0037719604992198412,113393,0,0,0,2025-03-31 03:00:00,2026-06-01 12:00:00
