feature_set_id,model_type,k,evaluated_windows,windows_with_positives,total_positive_cell_windows,positive_cell_windows_captured,recall_at_k,mean_window_recall_at_k,precision_at_k,positive_window_hit_rate_at_k,total_incidents,incidents_captured,incident_recall_at_k
all_features_train_period_hist,XGBoost,5,3420,3122,108224,2893,0.02673159373151981,0.026767661204247884,0.1691812865497076,0.6098654708520179,115298,3369,0.02921993443077937
all_features_train_period_hist,XGBoost,10,3420,3122,108224,5187,0.047928370786516857,0.04878143496965398,0.15166666666666667,0.795003203074952,115298,5960,0.051692136897431004
all_features_train_period_hist,XGBoost,20,3420,3122,108224,9049,0.08361361620342993,0.08567542058044955,0.1322953216374269,0.9183215887251762,115298,10281,0.08916893614806848
all_features_expanding_train_hist,XGBoost,5,3420,3122,108224,2924,0.027018036664695447,0.02715324930370016,0.17099415204678362,0.6146700832799488,115298,3417,0.029636246942704992
all_features_expanding_train_hist,XGBoost,10,3420,3122,108224,5145,0.04754028681253696,0.048243869041371824,0.15043859649122807,0.7959641255605381,115298,5933,0.051457961109472844
all_features_expanding_train_hist,XGBoost,20,3420,3122,108224,9059,0.0837060171496156,0.08597888309568988,0.13244152046783625,0.9192825112107623,115298,10291,0.08925566792138633
no_historical_risk,XGBoost,5,3420,3122,108224,2456,0.022693672383205205,0.02315741202383616,0.14362573099415205,0.5528507367072389,115298,2865,0.024848653055560374
no_historical_risk,XGBoost,10,3420,3122,108224,4488,0.041469544648137194,0.04268334016700931,0.1312280701754386,0.7488789237668162,115298,5159,0.04474492185467224
no_historical_risk,XGBoost,20,3420,3122,108224,7896,0.07295978710821999,0.0750940121903012,0.11543859649122808,0.8885329916720052,115298,8958,0.07769432253811862
temporal_lag_only,XGBoost,5,3420,3122,108224,2473,0.022850753991720874,0.022970580510329415,0.14461988304093568,0.5579756566303652,115298,2895,0.025108848375513887
temporal_lag_only,XGBoost,10,3420,3122,108224,4430,0.0409336191602602,0.041635367582487814,0.12953216374269005,0.7456758488148623,115298,5114,0.04435462887474197
temporal_lag_only,XGBoost,20,3420,3122,108224,7980,0.07373595505617977,0.07612352912654187,0.11666666666666667,0.8891736066623959,115298,9055,0.07853562073930163
temporal_only,XGBoost,5,3420,3122,108224,173,0.0015985363690124187,0.0016247058716928788,0.010116959064327486,0.0541319666880205,115298,179,0.0015524987423892868
temporal_only,XGBoost,10,3420,3122,108224,613,0.0056641780011827325,0.005746322571382609,0.017923976608187134,0.1780909673286355,115298,646,0.005602872556332287
temporal_only,XGBoost,20,3420,3122,108224,1879,0.017362137788290953,0.01746201887190902,0.027470760233918128,0.4381806534272902,115298,1989,0.01725094971291783
historical_score_only,Historical score,5,3420,3122,108224,2939,0.02715663808397398,0.027397219995417593,0.17187134502923976,0.6156310057655349,115298,3443,0.029861749553331367
historical_score_only,Historical score,10,3420,3122,108224,4971,0.04593251034890597,0.046914948547056336,0.14535087719298245,0.7821909032671365,115298,5728,0.04967995975645718
historical_score_only,Historical score,20,3420,3122,108224,8847,0.08174711709047901,0.08320474036169667,0.1293421052631579,0.9106342088404868,115298,10043,0.08710471994310395
