example_id,method,rank,feature,feature_value,contribution,direction,contribution_scale
high_risk_true_positive,SHAP,1,hist_cell_hour_risk,0.2345864623785019,2.2886502742767334,increases_risk,xgboost_raw_margin
high_risk_true_positive,SHAP,2,prev_7d_incident_count,16.0,0.3927761912345886,increases_risk,xgboost_raw_margin
high_risk_true_positive,SHAP,3,neighbor_prev_3h_incident_count,4.0,0.32398688793182373,increases_risk,xgboost_raw_margin
high_risk_true_positive,SHAP,4,year,2025.0,0.12370584905147552,increases_risk,xgboost_raw_margin
high_risk_true_positive,SHAP,5,prev_24h_incident_count,4.0,0.09561972320079803,increases_risk,xgboost_raw_margin
high_risk_true_positive,SHAP,6,neighbor_prev_24h_incident_count,11.0,0.07248465716838837,increases_risk,xgboost_raw_margin
high_risk_true_positive,SHAP,7,neighbor_prev_7d_severity_weight_sum,36.0,0.04912808537483215,increases_risk,xgboost_raw_margin
high_risk_true_positive,SHAP,8,neighbor_prev_7d_incident_count,41.0,0.03984654322266579,increases_risk,xgboost_raw_margin
high_risk_true_positive,LIME,1,hist_cell_hour_risk > 0.04,,0.41749156841534657,increases_risk,local_probability_surrogate
high_risk_true_positive,LIME,2,prev_7d_incident_count > 2.00,,0.05867439135834116,increases_risk,local_probability_surrogate
high_risk_true_positive,LIME,3,prev_3h_incident_count <= 0.00,,-0.04352843621344578,decreases_risk,local_probability_surrogate
high_risk_true_positive,LIME,4,prev_24h_incident_count > 0.00,,0.03336598569188091,increases_risk,local_probability_surrogate
high_risk_true_positive,LIME,5,year > 2022.00,,0.027473196308826477,increases_risk,local_probability_surrogate
high_risk_true_positive,LIME,6,neighbor_prev_24h_incident_count > 2.00,,0.023131168848244062,increases_risk,local_probability_surrogate
high_risk_true_positive,LIME,7,day_of_week_Friday <= 0.00,,0.02264572332873972,increases_risk,local_probability_surrogate
high_risk_true_positive,LIME,8,neighbor_prev_7d_severity_weight_sum > 12.00,,0.017921719773832796,increases_risk,local_probability_surrogate
high_risk_false_positive,SHAP,1,hist_cell_hour_risk,0.225677028298378,2.2413313388824463,increases_risk,xgboost_raw_margin
high_risk_false_positive,SHAP,2,prev_7d_incident_count,17.0,0.3995806872844696,increases_risk,xgboost_raw_margin
high_risk_false_positive,SHAP,3,neighbor_prev_3h_incident_count,6.0,0.3045238256454468,increases_risk,xgboost_raw_margin
high_risk_false_positive,SHAP,4,prev_3h_incident_count,1.0,0.186416357755661,increases_risk,xgboost_raw_margin
high_risk_false_positive,SHAP,5,year,2025.0,0.15053240954875946,increases_risk,xgboost_raw_margin
high_risk_false_positive,SHAP,6,prev_24h_incident_count,5.0,0.10520335286855698,increases_risk,xgboost_raw_margin
high_risk_false_positive,SHAP,7,neighbor_prev_24h_incident_count,11.0,0.07184723764657974,increases_risk,xgboost_raw_margin
high_risk_false_positive,SHAP,8,neighbor_prev_24h_severity_weight_sum,13.0,0.03214871510863304,increases_risk,xgboost_raw_margin
high_risk_false_positive,LIME,1,hist_cell_hour_risk > 0.04,,0.40221332860521336,increases_risk,local_probability_surrogate
high_risk_false_positive,LIME,2,prev_7d_incident_count > 2.00,,0.057564426420634876,increases_risk,local_probability_surrogate
high_risk_false_positive,LIME,3,prev_3h_incident_count > 0.00,,0.033551239508056885,increases_risk,local_probability_surrogate
high_risk_false_positive,LIME,4,neighbor_prev_24h_incident_count > 2.00,,0.03184941584399774,increases_risk,local_probability_surrogate
high_risk_false_positive,LIME,5,neighbor_prev_7d_incident_count > 12.00,,0.022798654488419598,increases_risk,local_probability_surrogate
high_risk_false_positive,LIME,6,prev_24h_incident_count > 0.00,,0.02238923350870625,increases_risk,local_probability_surrogate
high_risk_false_positive,LIME,7,is_weekend <= 0.00,,0.020792720690029593,increases_risk,local_probability_surrogate
high_risk_false_positive,LIME,8,prev_7d_severity_weight_sum > 2.00,,0.019721399265439154,increases_risk,local_probability_surrogate
low_score_false_negative,SHAP,1,hist_cell_hour_risk,0.0,-8.316967010498047,decreases_risk,xgboost_raw_margin
low_score_false_negative,SHAP,2,hist_cell_risk,0.0,-0.647057056427002,decreases_risk,xgboost_raw_margin
low_score_false_negative,SHAP,3,neighbor_prev_7d_incident_count,0.0,-0.26084840297698975,decreases_risk,xgboost_raw_margin
low_score_false_negative,SHAP,4,prev_7d_incident_count,0.0,-0.12888583540916443,decreases_risk,xgboost_raw_margin
low_score_false_negative,SHAP,5,year,2025.0,0.09871810674667358,increases_risk,xgboost_raw_margin
low_score_false_negative,SHAP,6,is_weekend,1.0,-0.08166393637657166,decreases_risk,xgboost_raw_margin
low_score_false_negative,SHAP,7,neighbor_prev_7d_active_cell_count,0.0,-0.07597900182008743,decreases_risk,xgboost_raw_margin
