row_type,feature,feature_group,mean_abs_shap,mean_shap,rank_within_type
grouped_feature,hist_cell_hour_risk,hist_cell_hour_risk,2.1737463,-1.7115066,1
grouped_feature,year,year,0.25334957,0.25334957,2
grouped_feature,hist_cell_risk,hist_cell_risk,0.09883688,-0.075093,3
grouped_feature,prev_7d_incident_count,prev_7d_incident_count,0.09365459,-0.045875862,4
grouped_feature,neighbor_prev_7d_incident_count,neighbor_prev_7d_incident_count,0.06596552,-0.04087463,5
grouped_feature,is_weekend,is_weekend,0.049416665,4.3959753e-05,6
grouped_feature,neighbor_prev_24h_incident_count,neighbor_prev_24h_incident_count,0.036943637,-0.012146044,7
grouped_feature,day_of_week,day_of_week,0.035550214,0.00027376867,8
grouped_feature,neighbor_prev_7d_severity_weight_sum,neighbor_prev_7d_severity_weight_sum,0.034767617,-0.0037628894,9
grouped_feature,hist_hour_risk,hist_hour_risk,0.032013517,-0.008101434,10
grouped_feature,hour_block,hour_block,0.029378,-0.009920727,11
grouped_feature,neighbor_prev_3h_incident_count,neighbor_prev_3h_incident_count,0.024392951,-0.0031815995,12
grouped_feature,prev_7d_severity_weight_sum,prev_7d_severity_weight_sum,0.02122644,-0.0052125403,13
grouped_feature,prev_24h_incident_count,prev_24h_incident_count,0.020736301,-0.004539454,14
grouped_feature,month,month,0.01971986,-0.0013326912,15
grouped_feature,neighbor_prev_24h_severity_weight_sum,neighbor_prev_24h_severity_weight_sum,0.01930064,-0.0015829069,16
grouped_feature,neighbor_prev_7d_active_cell_count,neighbor_prev_7d_active_cell_count,0.017735586,-0.011204265,17
grouped_feature,prev_3h_incident_count,prev_3h_incident_count,0.012608886,-0.0027365617,18
grouped_feature,inside_neighbor_count,inside_neighbor_count,0.008177198,0.0013763515,19
grouped_feature,prev_24h_severity_weight_sum,prev_24h_severity_weight_sum,0.006645764,0.0015107843,20
grouped_feature,neighbor_prev_24h_active_cell_count,neighbor_prev_24h_active_cell_count,0.006503938,-0.0015749751,21
grouped_feature,geo_scope,geo_scope,0.0,0.0,22
grouped_feature,hist_global_risk,hist_global_risk,0.0,0.0,23
raw_transformed_feature,hist_cell_hour_risk,hist_cell_hour_risk,2.1737463,-1.7115066,1
raw_transformed_feature,year,year,0.25334957,0.25334957,2
raw_transformed_feature,hist_cell_risk,hist_cell_risk,0.09883688,-0.075093,3
raw_transformed_feature,prev_7d_incident_count,prev_7d_incident_count,0.09365459,-0.045875862,4
raw_transformed_feature,neighbor_prev_7d_incident_count,neighbor_prev_7d_incident_count,0.06596552,-0.04087463,5
raw_transformed_feature,is_weekend,is_weekend,0.049416665,4.3959753e-05,6
raw_transformed_feature,neighbor_prev_24h_incident_count,neighbor_prev_24h_incident_count,0.036943637,-0.012146044,7
raw_transformed_feature,neighbor_prev_7d_severity_weight_sum,neighbor_prev_7d_severity_weight_sum,0.034767617,-0.0037628894,8
raw_transformed_feature,hist_hour_risk,hist_hour_risk,0.032013517,-0.008101434,9
raw_transformed_feature,hour_block,hour_block,0.029378,-0.009920727,10
raw_transformed_feature,neighbor_prev_3h_incident_count,neighbor_prev_3h_incident_count,0.024392951,-0.0031815995,11
raw_transformed_feature,prev_7d_severity_weight_sum,prev_7d_severity_weight_sum,0.02122644,-0.0052125403,12
raw_transformed_feature,prev_24h_incident_count,prev_24h_incident_count,0.020736301,-0.004539454,13
raw_transformed_feature,month,month,0.01971986,-0.0013326912,14
raw_transformed_feature,neighbor_prev_24h_severity_weight_sum,neighbor_prev_24h_severity_weight_sum,0.01930064,-0.0015829069,15
raw_transformed_feature,neighbor_prev_7d_active_cell_count,neighbor_prev_7d_active_cell_count,0.017735586,-0.011204265,16
raw_transformed_feature,prev_3h_incident_count,prev_3h_incident_count,0.012608886,-0.0027365617,17
raw_transformed_feature,day_of_week_Saturday,day_of_week,0.0120921945,-0.001587815,18
raw_transformed_feature,day_of_week_Friday,day_of_week,0.009741506,0.0020401059,19
raw_transformed_feature,inside_neighbor_count,inside_neighbor_count,0.008177198,0.0013763515,20
raw_transformed_feature,prev_24h_severity_weight_sum,prev_24h_severity_weight_sum,0.006645764,0.0015107843,21
raw_transformed_feature,day_of_week_Thursday,day_of_week,0.006534495,-0.000102179394,22
raw_transformed_feature,neighbor_prev_24h_active_cell_count,neighbor_prev_24h_active_cell_count,0.006503938,-0.0015749751,23
raw_transformed_feature,day_of_week_Monday,day_of_week,0.0029015362,-6.576092e-05,24
raw_transformed_feature,day_of_week_Tuesday,day_of_week,0.0016634981,7.661625e-05,25
raw_transformed_feature,day_of_week_Sunday,day_of_week,0.0013294065,1.4098219e-05,26
raw_transformed_feature,day_of_week_Wednesday,day_of_week,0.0012875767,-0.00010129634,27
raw_transformed_feature,hist_global_risk,hist_global_risk,0.0,0.0,28
raw_transformed_feature,geo_scope_inside_dubai,geo_scope,0.0,0.0,29
