method,bin_id,binning_strategy,row_count,score_min,score_max,predicted_mean,observed_rate,absolute_error,positive_count
uncalibrated,1,equal_frequency,446310,5.968302139081061e-05,0.00010871596168726683,8.851656457409263e-05,0.0003607358114315162,0.0002722192468574236,161
uncalibrated,2,equal_frequency,446310,0.00010871596168726683,0.05502047389745712,0.024388117715716362,0.0015213640742981335,0.022866753641418228,679
uncalibrated,3,equal_frequency,446310,0.05502047389745712,0.15743230283260345,0.10928322374820709,0.0034482758620689655,0.10583494788613812,1539
uncalibrated,4,equal_frequency,446310,0.15743230283260345,0.25679102540016174,0.2068144530057907,0.006591830790257893,0.20022262221553283,2942
uncalibrated,5,equal_frequency,446310,0.2567911446094513,0.3537377715110779,0.3066340386867523,0.009273823127422644,0.2973602155593297,4139
uncalibrated,6,equal_frequency,446310,0.3537377715110779,0.4517224431037903,0.40125131607055664,0.014409267101342117,0.38684204896921454,6431
uncalibrated,7,equal_frequency,446310,0.4517224431037903,0.5682888031005859,0.5088321566581726,0.021489547623848894,0.4873426090343237,9591
uncalibrated,8,equal_frequency,446310,0.568289041519165,0.6840541362762451,0.6289133429527283,0.03303757477986153,0.5958757681728667,14745
uncalibrated,9,equal_frequency,446310,0.6840541362762451,0.7799108028411865,0.7331231236457825,0.0533889000918644,0.6797342235539181,23828
uncalibrated,10,equal_frequency,446310,0.7799109220504761,0.9739475250244141,0.8404338955879211,0.0989648450628487,0.7414690505250725,44169
sigmoid,1,equal_frequency,446310,2.3840850644774036e-06,4.1652169784356374e-06,3.4384320315439254e-06,0.0003607358114315162,0.0003572973793999723,161
sigmoid,2,equal_frequency,446310,4.1652169784356374e-06,0.0014376610051840544,0.000641070248093456,0.0015213640742981335,0.0008802938262046775,679
sigmoid,3,equal_frequency,446310,0.0014376610051840544,0.004241711460053921,0.0028906012885272503,0.0034482758620689655,0.0005576745735417152,1539
sigmoid,4,equal_frequency,446310,0.004241711460053921,0.007490324787795544,0.005802967585623264,0.006591830790257893,0.0007888632046346286,2942
sigmoid,5,equal_frequency,446310,0.007490329444408417,0.011445882730185986,0.009445986710488796,0.009273823127422644,0.00017216358306615213,4139
sigmoid,6,equal_frequency,446310,0.011445882730185986,0.016656318679451942,0.013847234658896923,0.014409267101342117,0.0005620324424451938,6431
sigmoid,7,equal_frequency,446310,0.016656318679451942,0.025525260716676712,0.020685121417045593,0.021489547623848894,0.0008044262068033006,9591
sigmoid,8,equal_frequency,446310,0.025525283068418503,0.03995196893811226,0.032407328486442566,0.03303757477986153,0.0006302462934189637,14745
sigmoid,9,equal_frequency,446310,0.03995196893811226,0.06174834072589874,0.04994204267859459,0.0533889000918644,0.003446857413269812,23828
sigmoid,10,equal_frequency,446310,0.06174837797880173,0.37074822187423706,0.09392935037612915,0.0989648450628487,0.005035494686719544,44169
isotonic,1,equal_frequency,446310,0.0,0.000707582279574126,0.00026598546537570655,0.00037641997714592994,0.00011043451177022339,168
isotonic,2,equal_frequency,446310,0.000707582279574126,0.0021183586213737726,0.001214903313666582,0.0015818601420537295,0.0003669568283871474,706
isotonic,3,equal_frequency,446310,0.0021183586213737726,0.003703703638166189,0.002902988577261567,0.003374336223701015,0.000471347646439448,1506
isotonic,4,equal_frequency,446310,0.003703703638166189,0.006402092054486275,0.005497087258845568,0.006620958526584661,0.0011238712677390933,2955
isotonic,5,equal_frequency,446310,0.006402092054486275,0.010716395452618599,0.008487255312502384,0.00925365777150411,0.0007664024590017266,4130
isotonic,6,equal_frequency,446310,0.010716395452618599,0.015572259202599525,0.013018124736845493,0.014422710671954471,0.001404585935108978,6437
isotonic,7,equal_frequency,446310,0.015572259202599525,0.02417028695344925,0.01955566741526127,0.021471622863032423,0.001915955447771154,9583
isotonic,8,equal_frequency,446310,0.02417028695344925,0.03943011909723282,0.031058087944984436,0.033203378817413906,0.00214529087242947,14819
isotonic,9,equal_frequency,446310,0.03943011909723282,0.06451969593763351,0.05060689523816109,0.05331720104859851,0.0027103058104374217,23796
isotonic,10,equal_frequency,446310,0.06451969593763351,0.4615384638309479,0.09695211052894592,0.09886401828325603,0.0019119077543101048,44124
